"","GC","PGC","OSNs","M.TC"
"Cck",0.163802612971587,0.280977597435792,0.323048840950042,2.15221872832871
"Inpp5j",0.795296214101766,0.283620649677277,0.15164991449128,0.287256698116898
"Selm",2.04796753489205,1.80449665084169,0.684904579607022,1.44112467647057
"Gabra1",0.207148765042096,0.448588641592803,0.0980420043741505,1.90739780368473
"Atox1",0.560152665038852,0.821242026645651,2.14315071194492,0.53494964670457
"Coro6",0.00296247646398867,0.0100722472020562,0.00535528230554774,0.25480559617657
"Msi2",0.461728288735675,1.15085498170398,0.162083695011681,0.480175795856141
"Ddx5",2.20167361808168,2.02551944314472,0.62910329501526,1.19881351630538
"Prkca",1.04116538327457,0.227018078662758,0.199262637901936,0.229352612889319
"Otop2",0.00227760536094016,0.00440747529012076,0,0.242836173279669
"Atp5h",1.52576633711457,2.10053308727708,2.73118958735611,1.43317509727757
"H3f3b",2.29759264026842,3.35042179756171,1.145991751536,1.32755956738127
"Cyth1",0.315306370052461,0.906358574830531,0.0667980688912526,0.124364146972922
"Nptx1",0.0270006236514528,0.0209001569599939,0.0280132716433471,0.462013592631858
"Nrsn1",1.20047222649001,2.99917632669311,0.754789930247194,0.680171972478713
"Sox4",0.705506898512272,1.361603232182,0.191102924268539,0.420889195989393
"Nrn1",0.0263090874667983,0.0439604817748145,0.0304742147514824,0.5407146219772
"Sncb",0.583333979831811,1.64801936110891,0.26857748233072,1.2218317428843
"Spock1",0.0649576181994769,0.0497097600176421,0.0309671734033023,0.618879438700295
"Mef2c",1.77380225054704,1.57958645145505,0.416898017765181,0.744349009882707
"Cox7c",2.46260747210103,2.84650375427273,3.54210622308031,2.20792044421919
"Atp6ap1l",0.0297273982825366,0.012155764781249,0.0179787527732924,0.602560179699204
"Pik3r1",0.326446253228524,0.822003054018298,0.104162799896113,0.212600552698042
"Rab3c",0.257075689842478,0.691662741023865,0.126952650251954,0.244263173095442
"Gpr22",0.106972422046335,0.531096002130221,0.0181096423343376,0.0822239001562409
"Efcab10",0.0206570765786788,0.0190702526121236,0.622275332200605,0.0270889694527313
"Tspan13",0.173519630198155,0.297208985134011,0.0637845664195082,1.06476832776573
"Etv1",0.580881697341585,1.11785249108427,0.129868438863224,0.190972231869494
"Wdr89",0.793133482030405,1.01618889143799,1.94066575271143,0.6935569322776
"Syndig1l",0.0318602725254482,0.348253591956186,0.0405368272541427,0.0464641353035918
"Eml5",0.766183038388036,0.33222576479177,0.0634134082347864,0.192736664255559
"Calm1",1.92010826185347,2.40527294590682,3.10339803725386,1.90024784845775
"Meg3",3.3011507183002,3.42484631445627,0.398860911832475,1.58278633834968
"2010107E04Rik",1.49934309424124,1.96505558185106,3.13515170008499,1.36158580359364
"Sp8",0.721380652596849,1.32808090580991,0.195530941058281,0.16494369801999
"Slc1a3",0.376287028982,1.15791342626868,0.333877927097156,0.358999807906261
