"","Acinar_cells","Ductal_terminal_ductal_like","Ductal_CRISP3_high-centroacinar_like","Cancer_clone_A","Ductal_MHC_Class_II","Cancer_clone_B","mDCs_A","Ductal_APOL1_high-hypoxic","Tuft_cells","mDCs_B","pDCs","Endocrine_cells","Endothelial_cells","Macrophages_A","Mast_cells","Macrophages_B","T_cells_&_NK_cells","Monocytes","RBCs","Fibroblasts"
"AQP8",1.00544169104437,0,0.0598611213820474,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332076095930715,0,0,0
"AQP9",0,0.0633057514964961,0.105166983231009,0,0,0.129672536738117,0.369096204151724,0,0,0,0,0,0.565252568089719,1.10033413375174,0,1.23705423918795,0,1.40457999344085,0,0
"ARG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870815302388193,0,0
"ARHGDIG",0.348627078864849,0,0.0518836665186484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARX",0,0,0.116623234735007,0,0,0,0,0.081736659053185,0,0,0,1.22702310065465,0,0,0.340181990998312,0,0,0,0,0
"ASGR2",0,0.120233233133598,0.0677357230690893,0,0.137451124282975,0,0.762720834222016,0.0961198042376004,0,0,0,0,0,0,0,0,0,0,0,0
"ASPN",0,0,0,0,0,0,0.302549616930133,0,0,0,0,0,0,0,0,0,0,0,0,1.1101458903395
"ASTN1",0,0,0,0,0,0,0,0,0,0,0,0.702555021732231,0,0,0,0,0,0,0,0
"ATP1B1",0.222191173861479,0.81347631781231,0.718313574906866,1.03475161547412,0.882904570560799,1.11847828213735,0.67499759915683,0.912049491014677,1.15654130123213,0.741318845260754,0.723600349071422,0.839321148341826,0.64797659462273,0.510651611368829,0.870765261614314,0.69062890120638,0.586994334654408,0.466429379410391,0.517004234195963,0
"AZIN2",0,0.12878794521524,0.0455989073296938,0.10682050668927,0.152144756361817,0,0,0,0.303310678945801,0,0.833612457480344,0,0.524817481352295,0,0,0,0,0,0,0
"B4GALNT4",0,0,0.103175715599795,0,0,0,0,0.127461483432034,0.985228731917749,0,0,0,0,0,0,0,0,0,0,0
"BCAT1",0.424251610017111,0.0748624190734024,0.0921158280899483,0.27049938992396,0,1.02104339210815,0.824657282533361,0,0,0.695002912412058,0.416388193268335,0,0.899479575464201,0.879779456598312,0.777470905820513,1.17630321106353,0,0.429845596043443,0,0.650036649547728
"BCL6B",0,0,0,0,0,0,0,0,0,0,0,0,0.975671484318043,0,0,0,0,0,0,0
"BEX1",0,0.152833014965097,0.0921951857033291,0,0.0849657750093638,0,0,0.0789992846769581,0,0,0,0.965385625209393,0,0,0,0,0,0,0,0
"BEX5",0,0.668992465456461,0.907857690136709,0.178922597518515,0.674094311159957,0.252725809688087,0,0.460951944774939,0,0.218309468484322,0,0,0,0,0,0,0,0,0,0
"BMX",0,0.0847273134921475,0.109126987575944,0.0764612747302738,0.202140115343675,0,0.35714843845193,0.0996582124404316,0.751996923456045,0,0,0,0,0,0,0,0,0.528262458695198,0,0
"C1QA",0,0.0885325114964145,0.130332667084404,0.158601544856993,0.0871802486588295,0.0846470749773926,1.25423678095605,0.13107716350435,0,0.578129215940167,0.549756058122034,0,0,1.24563547969751,0,0,0,0,0.426947896270648,0
"C1QB",0,0.100311113826727,0.132503369151164,0,0.0856062632673765,0.116905452644012,1.30070794366189,0,0.316615804356272,0.591256414525712,0.621863025087974,0,0,1.25685350105306,0,0,0,0,0,0
"C1QC",0,0,0,0,0.0848467401428265,0,1.13970319872439,0,0,0.748776587740121,0.592667206007622,0,0,1.22355431136191,0,0,0.354987544874799,0,0,0
"C1orf162",0,0,0.0575376836484714,0.0764612747302738,0,0,0.980327340987405,0.0789992846769581,0,1.09302379360539,0.429327145676563,0,0,1.07753255841981,0.867301287617278,1.12169926262967,0.745350059396571,1.33435181199729,0,0
"C2orf54",0,0,0,0.27638369084813,0,0.660973773368197,0,0,0.331340500060815,0,0,0,0,0,0,0,0,0,0,0
"C6",0,0.544497801187099,1.01204154145659,0.168983457411036,0.83000238607806,0.105047103371966,0,0.412048714147565,0.230090428514066,0,0,0,0,0.354953423736444,0,0,0.338455743902554,0,0,0
"C6orf58",0,0,0,0,0,0,0,0,0,0,0,0.846305171372108,0,0,0,0,0,0,0,0
"CA9",0,0.992214291394019,0.560148420908257,0.672379415248334,0.806222467352302,0.0976179002970751,0.35714843845193,1.08306206232042,0.429632200401926,0.253846181204872,0,0,0,0,0,0,0,0,0,0.650036649547728
"CABP7",0,0,0,0,0,0,0,0,0,0,0,0.702555021732231,0,0,0,0,0,0,0,0
"CACNA2D1",0,0,0.104339675765877,0.122879452434436,0.0817516951737663,0,0,0,0.339779163927355,0,0,0,0,0,0.810779471330126,0,0,0,0,0.843879352102862
"CALB1",0,0,0,0,0,0.102916411504969,0,0,0,0,0,0.702555021732231,0,0,0,0,0,0,0,0
"CALCRL",0,0,0.0853353926034567,0,0.126130063330609,0,0,0,0,0,0.562162895776872,0,1.27028918739437,0.381375315965606,0,0,0,0,0,0
"CALML3",0,0,0,0,0,0,0,0,0,0,0,0.702555021732231,0,0,0,0,0,0,0,0
"CALY",0,0,0,0,0,0,0,0,0,0,0,1.1372681817964,0,0,0,0,0,0,0,0
"CAMK2N2",0.497643168047781,0.0658734429953498,0.0623803186026454,0,0,0,0.400540848706527,0.0938863446269183,0,0,0,0,0,0.231489165145855,0,0,0,0,0,0
"CAVIN2",0,0,0,0,0,0,0,0,0,0,0,0,0.993152571745458,0,0.746130379783242,0,0,0,0,0
"CCDC129",0,0.078889200447775,0,0,0.115025963681266,0,0,0.0996582124404316,1.15958045796669,0,0,0,0,0,0,0,0,0,0,0
"CCDC181",0,0.190107042599909,0.305315051714292,0,0.270104001998427,0,0,0.131528452828682,0.243613536741469,0,0,0,0,0,0,0,0,0,0,0
"CCDC3",0,0.092555758519206,0.0631809396431771,0,0.0939899633826062,0.145223163829092,0,0.066007686687322,0.435440734114761,0,0,0,1.0369636643513,0,0,0,0,0,0,0
"CCDC50",0.307228442943389,0.667749544263665,0.677535332723406,1.00601657471665,0.74128415323979,0.781014846299777,0.5740841803298,0.623941830592971,0.633194212087353,0.795717982145103,1.32300954477994,0.702555021732231,1.12299658995554,0.660795140405065,0.452387158091195,0,0.289584674850724,0,0,0
"CCDC80",0,0,0,0,0.0672274941204836,0.1067649238809,0,0,0,0,0,0,0.550948646301013,0,0,0,0,0,0,1.39555355076409
